object,image,force,mask
Cross,data_all/cross7/tactile_nobg/1713330086446.png,"[0.195, 0.118, -2.979]",data_all/cross7/depth_align_cross7/1713330105334_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713312360780.png,"[-0.074, -0.034, -2.758]",data_all/cross7/depth_align_cross7/1713312384428_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287520616.png,"[0.155, 0.047, -2.744]",data_all/cross7/depth_align_cross7/1713287540480_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713308948677.png,"[0.465, 0.181, -9.804]",data_all/cross7/depth_align_cross7/1713308952686_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316042894.png,"[-0.294, -0.157, -5.59]",data_all/cross7/depth_align_cross7/1713316057985_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713298981750.png,"[0.328, 0.125, -6.253]",data_all/cross7/depth_align_cross7/1713298989568_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713306254911.png,"[-0.146, 0.645, -14.539]",data_all/cross7/depth_align_cross7/1713306254911_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713315074655.png,"[0.501, -0.46, -12.254]",data_all/cross7/depth_align_cross7/1713315074655_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713312466238.png,"[0.326, 0.685, -13.169]",data_all/cross7/depth_align_cross7/1713312470197_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296144141.png,"[-0.098, 0.142, -12.8]",data_all/cross7/depth_align_cross7/1713296144141_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325753585.png,"[0.059, -0.007, -1.37]",data_all/cross7/depth_align_cross7/1713325776670_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287225440.png,"[0.524, 0.457, -9.818]",data_all/cross7/depth_align_cross7/1713287229697_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713285387933.png,"[-0.035, 0.102, -5.913]",data_all/cross7/depth_align_cross7/1713285407909_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713289099113.png,"[-0.129, 0.682, -10.271]",data_all/cross7/depth_align_cross7/1713289099113_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713309851616.png,"[0.247, -0.103, -2.534]",data_all/cross7/depth_align_cross7/1713309867346_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713289264900.png,"[-0.352, 0.003, -9.299]",data_all/cross7/depth_align_cross7/1713289272815_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713307442736.png,"[0.117, 0.588, -10.689]",data_all/cross7/depth_align_cross7/1713307446693_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288692521.png,"[-0.167, -0.03, -3.321]",data_all/cross7/depth_align_cross7/1713288708599_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294964352.png,"[0.124, 0.889, -10.515]",data_all/cross7/depth_align_cross7/1713294964352_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713324534066.png,"[0.247, 0.27, -11.124]",data_all/cross7/depth_align_cross7/1713324538075_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316697263.png,"[-0.004, 0.121, -5.434]",data_all/cross7/depth_align_cross7/1713316716305_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713304389282.png,"[0.031, -0.208, -2.386]",data_all/cross7/depth_align_cross7/1713304411883_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325304982.png,"[0.119, -0.09, -4.469]",data_all/cross7/depth_align_cross7/1713325320853_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713330588108.png,"[0.037, -0.056, -1.565]",data_all/cross7/depth_align_cross7/1713330607597_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284587386.png,"[0.054, 0.028, -1.34]",data_all/cross7/depth_align_cross7/1713284615011_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713329810260.png,"[0.546, 0.073, -12.108]",data_all/cross7/depth_align_cross7/1713329814117_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713290718915.png,"[-0.033, -0.033, -2.345]",data_all/cross7/depth_align_cross7/1713290742608_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325400271.png,"[0.431, 0.399, -9.34]",data_all/cross7/depth_align_cross7/1713325404077_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713304964366.png,"[0.059, -0.149, -3.495]",data_all/cross7/depth_align_cross7/1713304979600_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316162993.png,"[-0.123, 0.102, -4.724]",data_all/cross7/depth_align_cross7/1713316181949_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303596169.png,"[0.063, -0.041, -3.074]",data_all/cross7/depth_align_cross7/1713303615573_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713330516825.png,"[0.291, -0.085, -7.64]",data_all/cross7/depth_align_cross7/1713330524542_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294081773.png,"[0.199, -0.145, -3.746]",data_all/cross7/depth_align_cross7/1713294098797_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323464908.png,"[-0.03, -0.197, -2.212]",data_all/cross7/depth_align_cross7/1713323489019_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294691157.png,"[-0.06, 0.709, -9.59]",data_all/cross7/depth_align_cross7/1713294691157_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319319848.png,"[0.051, 0.126, -2.649]",data_all/cross7/depth_align_cross7/1713319340201_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323927505.png,"[0.235, 0.647, -12.31]",data_all/cross7/depth_align_cross7/1713323927505_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713283403158.png,"[-0.155, 0.452, -5.915]",data_all/cross7/depth_align_cross7/1713283411215_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713305953214.png,"[-0.04, 0.266, -5.445]",data_all/cross7/depth_align_cross7/1713305968201_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713322932407.png,"[-0.059, 0.358, -12.172]",data_all/cross7/depth_align_cross7/1713322936519_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713304441357.png,"[0.139, 0.234, -4.953]",data_all/cross7/depth_align_cross7/1713304452584_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284955384.png,"[0.024, 0.205, -8.954]",data_all/cross7/depth_align_cross7/1713284963389_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713312135138.png,"[0.308, 0.804, -16.614]",data_all/cross7/depth_align_cross7/1713312135138_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319422918.png,"[0.388, 0.064, -9.887]",data_all/cross7/depth_align_cross7/1713319422918_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321256605.png,"[-0.53, 0.062, -13.053]",data_all/cross7/depth_align_cross7/1713321260367_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316547760.png,"[-0.077, 0.609, -8.471]",data_all/cross7/depth_align_cross7/1713316551520_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713328672714.png,"[0.052, 0.146, -6.87]",data_all/cross7/depth_align_cross7/1713328687997_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713291936911.png,"[0.031, -0.066, -3.0]",data_all/cross7/depth_align_cross7/1713291956795_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713295811606.png,"[-0.069, -0.13, -6.49]",data_all/cross7/depth_align_cross7/1713295828379_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713306860700.png,"[0.089, 0.503, -7.35]",data_all/cross7/depth_align_cross7/1713306872080_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321078308.png,"[-0.078, 0.256, -5.799]",data_all/cross7/depth_align_cross7/1713321093444_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713299355844.png,"[-0.084, -0.135, -1.891]",data_all/cross7/depth_align_cross7/1713299379836_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713308519618.png,"[0.178, 0.111, -8.729]",data_all/cross7/depth_align_cross7/1713308523526_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284293984.png,"[-0.046, 0.087, -3.716]",data_all/cross7/depth_align_cross7/1713284313752_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713308480633.png,"[0.434, 0.186, -12.003]",data_all/cross7/depth_align_cross7/1713308480633_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303185463.png,"[0.042, -0.013, -7.225]",data_all/cross7/depth_align_cross7/1713303196991_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321025276.png,"[-0.055, -0.006, -1.474]",data_all/cross7/depth_align_cross7/1713321052194_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713324170632.png,"[0.073, 0.108, -3.518]",data_all/cross7/depth_align_cross7/1713324190829_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713304137342.png,"[0.051, -0.011, -2.18]",data_all/cross7/depth_align_cross7/1713304156782_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321531845.png,"[-0.022, 0.052, -4.322]",data_all/cross7/depth_align_cross7/1713321550942_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713329851938.png,"[0.432, 0.168, -9.995]",data_all/cross7/depth_align_cross7/1713329855843_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713306501294.png,"[-0.074, 1.223, -15.958]",data_all/cross7/depth_align_cross7/1713306501294_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713290514288.png,"[-0.11, -0.104, -7.355]",data_all/cross7/depth_align_cross7/1713290526058_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713289299868.png,"[-0.089, 0.027, -3.759]",data_all/cross7/depth_align_cross7/1713289315453_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325836112.png,"[-0.003, -0.045, -1.12]",data_all/cross7/depth_align_cross7/1713325859102_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713308971830.png,"[0.006, -0.083, -1.09]",data_all/cross7/depth_align_cross7/1713308995837_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321339782.png,"[0.032, 0.863, -10.167]",data_all/cross7/depth_align_cross7/1713321343741_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713314099188.png,"[0.1, 0.004, -4.715]",data_all/cross7/depth_align_cross7/1713314115382_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713328463170.png,"[0.081, 0.021, -6.557]",data_all/cross7/depth_align_cross7/1713328478652_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713298762306.png,"[0.118, -0.177, -6.945]",data_all/cross7/depth_align_cross7/1713298774031_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310189597.png,"[-0.206, 0.488, -6.2]",data_all/cross7/depth_align_cross7/1713310197163_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713317493886.png,"[0.057, 0.005, -2.957]",data_all/cross7/depth_align_cross7/1713317506214_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713315372334.png,"[0.238, -0.001, -6.713]",data_all/cross7/depth_align_cross7/1713315376347_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713315805927.png,"[-0.221, 0.851, -10.537]",data_all/cross7/depth_align_cross7/1713315810037_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320957395.png,"[-0.171, 0.164, -6.457]",data_all/cross7/depth_align_cross7/1713320968926_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713290007012.png,"[0.141, 0.576, -12.21]",data_all/cross7/depth_align_cross7/1713290007012_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713305904400.png,"[-0.04, 0.077, -2.95]",data_all/cross7/depth_align_cross7/1713305926997_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326589589.png,"[0.057, 0.207, -4.471]",data_all/cross7/depth_align_cross7/1713326608535_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320339001.png,"[0.408, -0.127, -7.601]",data_all/cross7/depth_align_cross7/1713320342913_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713314447329.png,"[0.093, -0.076, -3.16]",data_all/cross7/depth_align_cross7/1713314467489_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325938431.png,"[0.318, -0.31, -9.438]",data_all/cross7/depth_align_cross7/1713325942336_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713318273520.png,"[0.027, 0.054, -3.504]",data_all/cross7/depth_align_cross7/1713318297776_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287035890.png,"[0.244, -0.012, -5.044]",data_all/cross7/depth_align_cross7/1713287048560_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287798614.png,"[0.254, -0.267, -9.857]",data_all/cross7/depth_align_cross7/1713287798614_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713312003062.png,"[0.034, 0.154, -8.745]",data_all/cross7/depth_align_cross7/1713312010770_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713300802309.png,"[0.015, 0.235, -4.212]",data_all/cross7/depth_align_cross7/1713300822348_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713305099539.png,"[0.391, 0.012, -6.403]",data_all/cross7/depth_align_cross7/1713305107058_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713314510762.png,"[0.485, -0.32, -15.413]",data_all/cross7/depth_align_cross7/1713314510762_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713309154899.png,"[0.105, 0.009, -3.78]",data_all/cross7/depth_align_cross7/1713309166274_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713299759432.png,"[-0.165, 0.031, -3.725]",data_all/cross7/depth_align_cross7/1713299779276_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325569345.png,"[0.428, -0.217, -11.852]",data_all/cross7/depth_align_cross7/1713325569345_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284180679.png,"[-0.144, 0.339, -9.816]",data_all/cross7/depth_align_cross7/1713284184680_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713293373263.png,"[0.114, 0.077, -2.647]",data_all/cross7/depth_align_cross7/1713293385986_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713290828627.png,"[-0.113, -0.221, -11.918]",data_all/cross7/depth_align_cross7/1713290828627_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713319019910.png,"[0.103, 0.096, -3.939]",data_all/cross7/depth_align_cross7/1713319036101_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713317974239.png,"[0.061, -0.106, -3.221]",data_all/cross7/depth_align_cross7/1713317994331_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713317712789.png,"[-0.194, -0.035, -4.476]",data_all/cross7/depth_align_cross7/1713317733278_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713289728175.png,"[0.012, 0.094, -2.972]",data_all/cross7/depth_align_cross7/1713289747953_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713295674056.png,"[0.007, 0.093, -4.708]",data_all/cross7/depth_align_cross7/1713295691132_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713298511714.png,"[0.22, 0.028, -10.419]",data_all/cross7/depth_align_cross7/1713298515619_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303816829.png,"[-0.017, -0.149, -9.273]",data_all/cross7/depth_align_cross7/1713303824597_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320509805.png,"[-0.246, 1.059, -12.588]",data_all/cross7/depth_align_cross7/1713320509805_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713288097047.png,"[0.277, -0.266, -8.883]",data_all/cross7/depth_align_cross7/1713288101051_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321115455.png,"[0.025, 0.219, -3.191]",data_all/cross7/depth_align_cross7/1713321134759_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713307743301.png,"[0.203, 0.582, -11.657]",data_all/cross7/depth_align_cross7/1713307747261_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713283473260.png,"[-0.032, -0.013, -1.113]",data_all/cross7/depth_align_cross7/1713283496829_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321799948.png,"[-0.147, 0.375, -13.958]",data_all/cross7/depth_align_cross7/1713321799948_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713329723213.png,"[0.121, -0.248, -9.614]",data_all/cross7/depth_align_cross7/1713329730876_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316866264.png,"[-0.051, 0.026, -6.324]",data_all/cross7/depth_align_cross7/1713316881499_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713327472197.png,"[-0.036, 0.388, -11.513]",data_all/cross7/depth_align_cross7/1713327479916_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713305628781.png,"[-0.017, 0.474, -6.281]",data_all/cross7/depth_align_cross7/1713305640208_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321441306.png,"[0.037, 0.044, -1.674]",data_all/cross7/depth_align_cross7/1713321468078_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713329968979.png,"[0.289, -0.139, -6.832]",data_all/cross7/depth_align_cross7/1713329980396_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713316614368.png,"[0.106, 0.082, -2.737]",data_all/cross7/depth_align_cross7/1713316633412_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320581883.png,"[-0.241, 0.375, -6.719]",data_all/cross7/depth_align_cross7/1713320593310_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713320134055.png,"[0.348, -0.293, -11.715]",data_all/cross7/depth_align_cross7/1713320134055_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326218351.png,"[-0.072, 0.2, -3.801]",data_all/cross7/depth_align_cross7/1713326233579_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713306775331.png,"[0.009, 0.411, -7.785]",data_all/cross7/depth_align_cross7/1713306790517_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713322399309.png,"[-0.059, 0.283, -11.357]",data_all/cross7/depth_align_cross7/1713322407331_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713287158582.png,"[0.052, -0.036, -1.964]",data_all/cross7/depth_align_cross7/1713287183574_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713322876505.png,"[0.103, 0.26, -4.048]",data_all/cross7/depth_align_cross7/1713322892599_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713299984520.png,"[-0.04, 0.509, -6.152]",data_all/cross7/depth_align_cross7/1713299996236_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296558542.png,"[-0.026, -0.041, -2.823]",data_all/cross7/depth_align_cross7/1713296582534_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713317110003.png,"[-0.086, 0.106, -4.757]",data_all/cross7/depth_align_cross7/1713317129139_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310522060.png,"[-0.335, 0.534, -10.043]",data_all/cross7/depth_align_cross7/1713310525817_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713308433740.png,"[0.195, 0.455, -8.379]",data_all/cross7/depth_align_cross7/1713308437747_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294446568.png,"[-0.11, 0.105, -2.93]",data_all/cross7/depth_align_cross7/1713294463544_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713285586253.png,"[0.008, -0.082, -5.408]",data_all/cross7/depth_align_cross7/1713285598865_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303992559.png,"[0.5, 0.234, -13.242]",data_all/cross7/depth_align_cross7/1713303992559_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713310361161.png,"[-0.144, 0.705, -10.468]",data_all/cross7/depth_align_cross7/1713310361161_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284873597.png,"[0.176, 0.786, -11.562]",data_all/cross7/depth_align_cross7/1713284877546_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713329931518.png,"[0.245, -0.01, -9.209]",data_all/cross7/depth_align_cross7/1713329939079_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323047317.png,"[-0.094, -0.123, -3.955]",data_all/cross7/depth_align_cross7/1713323067819_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713321286490.png,"[-0.206, 0.026, -5.29]",data_all/cross7/depth_align_cross7/1713321301880_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713291637317.png,"[0.064, 0.132, -4.455]",data_all/cross7/depth_align_cross7/1713291653745_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713325463913.png,"[0.073, -0.18, -1.769]",data_all/cross7/depth_align_cross7/1713325486800_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713328729848.png,"[0.339, 0.338, -14.032]",data_all/cross7/depth_align_cross7/1713328729848_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713284504550.png,"[-0.057, 0.089, -1.916]",data_all/cross7/depth_align_cross7/1713284528374_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326010602.png,"[-0.244, 0.298, -5.973]",data_all/cross7/depth_align_cross7/1713326025676_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713291582630.png,"[0.066, -0.074, -1.156]",data_all/cross7/depth_align_cross7/1713291610173_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713295620176.png,"[0.02, 0.01, -2.255]",data_all/cross7/depth_align_cross7/1713295645615_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323212520.png,"[-0.02, -0.019, -1.233]",data_all/cross7/depth_align_cross7/1713323241556_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713286006319.png,"[0.315, 0.459, -6.687]",data_all/cross7/depth_align_cross7/1713286010324_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713283581992.png,"[-0.333, 0.584, -8.289]",data_all/cross7/depth_align_cross7/1713283581992_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713323679971.png,"[-0.007, -0.018, -1.067]",data_all/cross7/depth_align_cross7/1713323708091_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713330127734.png,"[0.143, 0.047, -3.019]",data_all/cross7/depth_align_cross7/1713330146876_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713304759871.png,"[0.137, -0.042, -3.112]",data_all/cross7/depth_align_cross7/1713304779059_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713289947770.png,"[0.078, 0.33, -5.169]",data_all/cross7/depth_align_cross7/1713289963792_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713326932738.png,"[0.071, 0.488, -7.453]",data_all/cross7/depth_align_cross7/1713326940303_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303843695.png,"[0.049, 0.011, -1.751]",data_all/cross7/depth_align_cross7/1713303867256_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713307152464.png,"[0.101, 0.503, -10.994]",data_all/cross7/depth_align_cross7/1713307159834_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713303782600.png,"[0.212, 0.207, -11.341]",data_all/cross7/depth_align_cross7/1713303782600_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713312326218.png,"[0.063, 0.046, -6.38]",data_all/cross7/depth_align_cross7/1713312341895_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713311015043.png,"[-0.14, 0.528, -9.059]",data_all/cross7/depth_align_cross7/1713311022606_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713328413625.png,"[0.011, -0.006, -2.757]",data_all/cross7/depth_align_cross7/1713328436768_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713302320834.png,"[0.017, 0.005, -3.419]",data_all/cross7/depth_align_cross7/1713302346042_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713296788776.png,"[0.251, 0.408, -9.352]",data_all/cross7/depth_align_cross7/1713296800698_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713294773293.png,"[-0.176, 0.205, -7.332]",data_all/cross7/depth_align_cross7/1713294781755_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713315651416.png,"[-0.073, -0.006, -1.499]",data_all/cross7/depth_align_cross7/1713315679651_depth_align.npy
Cross,data_all/cross7/tactile_nobg/1713286897007.png,"[0.19, 0.222, -5.068]",data_all/cross7/depth_align_cross7/1713286913683_depth_align.npy
