object,image,force,reference_image
Cross,data_all/cross7/tactile_nobg/1713320172039.png,"[0.516, 0.15, -8.173]",data_all/cross7/tactile_nobg/1713320172039.png
Cross,data_all/cross7/tactile_nobg/1713304674140.png,"[0.079, -0.012, -1.656]",data_all/cross7/tactile_nobg/1713304674140.png
Cross,data_all/cross7/tactile_nobg/1713317195727.png,"[-0.073, -0.015, -5.842]",data_all/cross7/tactile_nobg/1713317195727.png
Cross,data_all/cross7/tactile_nobg/1713330427942.png,"[0.216, 0.074, -5.185]",data_all/cross7/tactile_nobg/1713330427942.png
Cross,data_all/cross7/tactile_nobg/1713300122185.png,"[0.207, 1.053, -11.371]",data_all/cross7/tactile_nobg/1713300122185.png
Cross,data_all/cross7/tactile_nobg/1713285948542.png,"[0.076, 0.121, -4.435]",data_all/cross7/tactile_nobg/1713285948542.png
Cross,data_all/cross7/tactile_nobg/1713296905641.png,"[0.011, -0.038, -2.086]",data_all/cross7/tactile_nobg/1713296905641.png
Cross,data_all/cross7/tactile_nobg/1713284133287.png,"[-0.26, 0.128, -7.672]",data_all/cross7/tactile_nobg/1713284133287.png
Cross,data_all/cross7/tactile_nobg/1713327331514.png,"[-0.08, 0.068, -3.528]",data_all/cross7/tactile_nobg/1713327331514.png
Cross,data_all/cross7/tactile_nobg/1713286450276.png,"[0.111, -0.109, -6.947]",data_all/cross7/tactile_nobg/1713286450276.png
Cross,data_all/cross7/tactile_nobg/1713296700326.png,"[-0.081, -0.186, -8.845]",data_all/cross7/tactile_nobg/1713296700326.png
Cross,data_all/cross7/tactile_nobg/1713303060670.png,"[0.07, 0.103, -6.633]",data_all/cross7/tactile_nobg/1713303060670.png
Cross,data_all/cross7/tactile_nobg/1713307148756.png,"[0.042, 0.39, -8.678]",data_all/cross7/tactile_nobg/1713307148756.png
Cross,data_all/cross7/tactile_nobg/1713285623643.png,"[-0.018, 0.225, -4.029]",data_all/cross7/tactile_nobg/1713285623643.png
Cross,data_all/cross7/tactile_nobg/1713306169259.png,"[-0.026, 0.792, -9.602]",data_all/cross7/tactile_nobg/1713306169259.png
Cross,data_all/cross7/tactile_nobg/1713286224462.png,"[0.052, -0.04, -4.712]",data_all/cross7/tactile_nobg/1713286224462.png
Cross,data_all/cross7/tactile_nobg/1713288554419.png,"[0.028, 0.044, -1.343]",data_all/cross7/tactile_nobg/1713288554419.png
Cross,data_all/cross7/tactile_nobg/1713308072998.png,"[0.035, -0.06, -2.936]",data_all/cross7/tactile_nobg/1713308072998.png
Cross,data_all/cross7/tactile_nobg/1713310965905.png,"[-0.011, 0.372, -6.222]",data_all/cross7/tactile_nobg/1713310965905.png
Cross,data_all/cross7/tactile_nobg/1713295657130.png,"[-0.023, -0.017, -0.271]",data_all/cross7/tactile_nobg/1713295657130.png
Cross,data_all/cross7/tactile_nobg/1713315113874.png,"[0.288, -0.236, -10.55]",data_all/cross7/tactile_nobg/1713315113874.png
Cross,data_all/cross7/tactile_nobg/1713316584998.png,"[-0.041, 0.429, -9.454]",data_all/cross7/tactile_nobg/1713316584998.png
Cross,data_all/cross7/tactile_nobg/1713318033762.png,"[0.104, 0.237, -9.142]",data_all/cross7/tactile_nobg/1713318033762.png
Cross,data_all/cross7/tactile_nobg/1713304198984.png,"[0.457, 0.365, -10.151]",data_all/cross7/tactile_nobg/1713304198984.png
Cross,data_all/cross7/tactile_nobg/1713285387933.png,"[-0.035, 0.102, -5.913]",data_all/cross7/tactile_nobg/1713285387933.png
Cross,data_all/cross7/tactile_nobg/1713297775969.png,"[0.242, 0.282, -5.071]",data_all/cross7/tactile_nobg/1713297775969.png
Cross,data_all/cross7/tactile_nobg/1713326392572.png,"[-0.12, 0.342, -8.868]",data_all/cross7/tactile_nobg/1713326392572.png
Cross,data_all/cross7/tactile_nobg/1713311819252.png,"[0.021, -0.068, -2.179]",data_all/cross7/tactile_nobg/1713311819252.png
Cross,data_all/cross7/tactile_nobg/1713312029396.png,"[0.034, -0.056, -2.832]",data_all/cross7/tactile_nobg/1713312029396.png
Cross,data_all/cross7/tactile_nobg/1713307352111.png,"[-0.16, 0.008, -5.922]",data_all/cross7/tactile_nobg/1713307352111.png
Cross,data_all/cross7/tactile_nobg/1713298816628.png,"[0.412, -0.29, -10.838]",data_all/cross7/tactile_nobg/1713298816628.png
Cross,data_all/cross7/tactile_nobg/1713297826556.png,"[0.442, 0.18, -10.415]",data_all/cross7/tactile_nobg/1713297826556.png
Cross,data_all/cross7/tactile_nobg/1713295364741.png,"[-0.209, 0.204, -8.934]",data_all/cross7/tactile_nobg/1713295364741.png
Cross,data_all/cross7/tactile_nobg/1713291602361.png,"[0.304, 0.314, -7.349]",data_all/cross7/tactile_nobg/1713291602361.png
Cross,data_all/cross7/tactile_nobg/1713286474209.png,"[-0.015, -0.019, -0.035]",data_all/cross7/tactile_nobg/1713286474209.png
Cross,data_all/cross7/tactile_nobg/1713319883302.png,"[0.407, 0.231, -6.884]",data_all/cross7/tactile_nobg/1713319883302.png
Cross,data_all/cross7/tactile_nobg/1713289775390.png,"[-0.007, -0.015, -4.443]",data_all/cross7/tactile_nobg/1713289775390.png
Cross,data_all/cross7/tactile_nobg/1713287516563.png,"[0.102, 0.027, -1.398]",data_all/cross7/tactile_nobg/1713287516563.png
Cross,data_all/cross7/tactile_nobg/1713287967649.png,"[0.244, 0.269, -5.467]",data_all/cross7/tactile_nobg/1713287967649.png
Cross,data_all/cross7/tactile_nobg/1713293788939.png,"[0.092, 0.109, -2.851]",data_all/cross7/tactile_nobg/1713293788939.png
Cross,data_all/cross7/tactile_nobg/1713321863363.png,"[-0.087, 0.072, -3.979]",data_all/cross7/tactile_nobg/1713321863363.png
Cross,data_all/cross7/tactile_nobg/1713328164549.png,"[0.051, 0.065, -1.7]",data_all/cross7/tactile_nobg/1713328164549.png
Cross,data_all/cross7/tactile_nobg/1713300244352.png,"[-0.111, 0.359, -8.226]",data_all/cross7/tactile_nobg/1713300244352.png
Cross,data_all/cross7/tactile_nobg/1713307653174.png,"[-0.022, 0.102, -7.296]",data_all/cross7/tactile_nobg/1713307653174.png
Cross,data_all/cross7/tactile_nobg/1713299415752.png,"[-0.253, 0.178, -7.486]",data_all/cross7/tactile_nobg/1713299415752.png
Cross,data_all/cross7/tactile_nobg/1713287842438.png,"[0.729, 0.47, -12.148]",data_all/cross7/tactile_nobg/1713287842438.png
Cross,data_all/cross7/tactile_nobg/1713283704023.png,"[-0.138, 0.592, -7.075]",data_all/cross7/tactile_nobg/1713283704023.png
Cross,data_all/cross7/tactile_nobg/1713286950492.png,"[0.259, 0.154, -6.137]",data_all/cross7/tactile_nobg/1713286950492.png
Cross,data_all/cross7/tactile_nobg/1713325869919.png,"[0.022, -0.005, 0.068]",data_all/cross7/tactile_nobg/1713325869919.png
Cross,data_all/cross7/tactile_nobg/1713324843093.png,"[0.518, 0.347, -12.072]",data_all/cross7/tactile_nobg/1713324843093.png
Cross,data_all/cross7/tactile_nobg/1713305331461.png,"[-0.014, -0.025, -2.809]",data_all/cross7/tactile_nobg/1713305331461.png
Cross,data_all/cross7/tactile_nobg/1713329999074.png,"[0.023, -0.153, -2.131]",data_all/cross7/tactile_nobg/1713329999074.png
Cross,data_all/cross7/tactile_nobg/1713313522843.png,"[0.356, 0.264, -12.601]",data_all/cross7/tactile_nobg/1713313522843.png
Cross,data_all/cross7/tactile_nobg/1713304267541.png,"[0.142, -0.081, -3.942]",data_all/cross7/tactile_nobg/1713304267541.png
Cross,data_all/cross7/tactile_nobg/1713309855374.png,"[0.248, -0.181, -4.309]",data_all/cross7/tactile_nobg/1713309855374.png
Cross,data_all/cross7/tactile_nobg/1713311156510.png,"[-0.005, -0.032, -0.469]",data_all/cross7/tactile_nobg/1713311156510.png
Cross,data_all/cross7/tactile_nobg/1713298766264.png,"[0.251, -0.277, -9.257]",data_all/cross7/tactile_nobg/1713298766264.png
Cross,data_all/cross7/tactile_nobg/1713320339001.png,"[0.408, -0.127, -7.601]",data_all/cross7/tactile_nobg/1713320339001.png
Cross,data_all/cross7/tactile_nobg/1713317580721.png,"[-0.071, -0.065, -1.801]",data_all/cross7/tactile_nobg/1713317580721.png
Cross,data_all/cross7/tactile_nobg/1713325362367.png,"[0.185, -0.445, -11.741]",data_all/cross7/tactile_nobg/1713325362367.png
Cross,data_all/cross7/tactile_nobg/1713298410541.png,"[0.14, -0.115, -3.474]",data_all/cross7/tactile_nobg/1713298410541.png
Cross,data_all/cross7/tactile_nobg/1713300454499.png,"[0.034, 0.358, -3.065]",data_all/cross7/tactile_nobg/1713300454499.png
Cross,data_all/cross7/tactile_nobg/1713295645615.png,"[-0.103, 0.388, -14.65]",data_all/cross7/tactile_nobg/1713295645615.png
Cross,data_all/cross7/tactile_nobg/1713284520415.png,"[-0.061, 0.239, -6.831]",data_all/cross7/tactile_nobg/1713284520415.png
Cross,data_all/cross7/tactile_nobg/1713309978983.png,"[0.104, -0.134, -5.31]",data_all/cross7/tactile_nobg/1713309978983.png
Cross,data_all/cross7/tactile_nobg/1713319450139.png,"[0.068, -0.025, -3.075]",data_all/cross7/tactile_nobg/1713319450139.png
Cross,data_all/cross7/tactile_nobg/1713290046129.png,"[0.07, 0.419, -9.901]",data_all/cross7/tactile_nobg/1713290046129.png
Cross,data_all/cross7/tactile_nobg/1713293694469.png,"[0.101, -0.045, -3.749]",data_all/cross7/tactile_nobg/1713293694469.png
Cross,data_all/cross7/tactile_nobg/1713307817189.png,"[0.075, 0.033, -2.825]",data_all/cross7/tactile_nobg/1713307817189.png
Cross,data_all/cross7/tactile_nobg/1713297206418.png,"[0.026, 0.031, -2.351]",data_all/cross7/tactile_nobg/1713297206418.png
Cross,data_all/cross7/tactile_nobg/1713285528644.png,"[-0.008, 0.03, -0.644]",data_all/cross7/tactile_nobg/1713285528644.png
Cross,data_all/cross7/tactile_nobg/1713320749355.png,"[-0.114, 0.391, -6.617]",data_all/cross7/tactile_nobg/1713320749355.png
Cross,data_all/cross7/tactile_nobg/1713314703514.png,"[0.079, -0.03, -2.2]",data_all/cross7/tactile_nobg/1713314703514.png
Cross,data_all/cross7/tactile_nobg/1713306576179.png,"[-0.011, 0.377, -13.205]",data_all/cross7/tactile_nobg/1713306576179.png
Cross,data_all/cross7/tactile_nobg/1713316364274.png,"[-0.001, 0.077, -1.625]",data_all/cross7/tactile_nobg/1713316364274.png
Cross,data_all/cross7/tactile_nobg/1713330165568.png,"[-0.004, -0.079, -2.172]",data_all/cross7/tactile_nobg/1713330165568.png
Cross,data_all/cross7/tactile_nobg/1713289943812.png,"[0.066, 0.186, -3.781]",data_all/cross7/tactile_nobg/1713289943812.png
Cross,data_all/cross7/tactile_nobg/1713324122772.png,"[-0.015, -0.209, -3.061]",data_all/cross7/tactile_nobg/1713324122772.png
Cross,data_all/cross7/tactile_nobg/1713309057624.png,"[-0.023, -0.019, -0.672]",data_all/cross7/tactile_nobg/1713309057624.png
Cross,data_all/cross7/tactile_nobg/1713320589400.png,"[-0.347, 0.692, -9.938]",data_all/cross7/tactile_nobg/1713320589400.png
Cross,data_all/cross7/tactile_nobg/1713321127287.png,"[-0.204, 0.432, -8.2]",data_all/cross7/tactile_nobg/1713321127287.png
Cross,data_all/cross7/tactile_nobg/1713283742889.png,"[-0.082, 0.437, -5.826]",data_all/cross7/tactile_nobg/1713283742889.png
Cross,data_all/cross7/tactile_nobg/1713330078830.png,"[0.043, 0.055, -0.884]",data_all/cross7/tactile_nobg/1713330078830.png
Cross,data_all/cross7/tactile_nobg/1713319755487.png,"[0.222, -0.068, -6.619]",data_all/cross7/tactile_nobg/1713319755487.png
Cross,data_all/cross7/tactile_nobg/1713310170716.png,"[-0.016, -0.064, -0.447]",data_all/cross7/tactile_nobg/1713310170716.png
Cross,data_all/cross7/tactile_nobg/1713307739290.png,"[0.23, 0.452, -9.846]",data_all/cross7/tactile_nobg/1713307739290.png
Cross,data_all/cross7/tactile_nobg/1713319205465.png,"[0.23, 0.062, -10.218]",data_all/cross7/tactile_nobg/1713319205465.png
Cross,data_all/cross7/tactile_nobg/1713314478519.png,"[0.119, -0.075, -0.666]",data_all/cross7/tactile_nobg/1713314478519.png
Cross,data_all/cross7/tactile_nobg/1713295393180.png,"[-0.013, 0.032, -1.498]",data_all/cross7/tactile_nobg/1713295393180.png
Cross,data_all/cross7/tactile_nobg/1713321025276.png,"[-0.055, -0.006, -1.474]",data_all/cross7/tactile_nobg/1713321025276.png
Cross,data_all/cross7/tactile_nobg/1713324321157.png,"[0.548, 0.293, -11.876]",data_all/cross7/tactile_nobg/1713324321157.png
Cross,data_all/cross7/tactile_nobg/1713305181430.png,"[0.369, -0.074, -7.194]",data_all/cross7/tactile_nobg/1713305181430.png
Cross,data_all/cross7/tactile_nobg/1713327782470.png,"[-0.015, 0.012, -0.521]",data_all/cross7/tactile_nobg/1713327782470.png
Cross,data_all/cross7/tactile_nobg/1713328035456.png,"[0.079, 0.025, -2.284]",data_all/cross7/tactile_nobg/1713328035456.png
Cross,data_all/cross7/tactile_nobg/1713296518818.png,"[0.093, -0.07, -3.522]",data_all/cross7/tactile_nobg/1713296518818.png
Cross,data_all/cross7/tactile_nobg/1713307958498.png,"[-0.023, -0.069, -10.992]",data_all/cross7/tactile_nobg/1713307958498.png
Cross,data_all/cross7/tactile_nobg/1713324787730.png,"[0.287, 0.144, -6.234]",data_all/cross7/tactile_nobg/1713324787730.png
Cross,data_all/cross7/tactile_nobg/1713314142856.png,"[0.054, -0.0, -2.949]",data_all/cross7/tactile_nobg/1713314142856.png
Cross,data_all/cross7/tactile_nobg/1713286352042.png,"[0.038, 0.048, -2.725]",data_all/cross7/tactile_nobg/1713286352042.png
Cross,data_all/cross7/tactile_nobg/1713327249044.png,"[0.008, -0.014, -3.168]",data_all/cross7/tactile_nobg/1713327249044.png
Cross,data_all/cross7/tactile_nobg/1713294372701.png,"[-0.207, 0.715, -8.774]",data_all/cross7/tactile_nobg/1713294372701.png
Cross,data_all/cross7/tactile_nobg/1713303965394.png,"[0.017, 0.045, -1.123]",data_all/cross7/tactile_nobg/1713303965394.png
Cross,data_all/cross7/tactile_nobg/1713300271555.png,"[-0.084, 0.04, -1.48]",data_all/cross7/tactile_nobg/1713300271555.png
Cross,data_all/cross7/tactile_nobg/1713298879478.png,"[0.171, -0.115, -2.93]",data_all/cross7/tactile_nobg/1713298879478.png
Cross,data_all/cross7/tactile_nobg/1713297981914.png,"[0.212, 0.238, -4.92]",data_all/cross7/tactile_nobg/1713297981914.png
Cross,data_all/cross7/tactile_nobg/1713309147381.png,"[-0.037, -0.062, -1.532]",data_all/cross7/tactile_nobg/1713309147381.png
Cross,data_all/cross7/tactile_nobg/1713316862453.png,"[-0.062, -0.099, -4.723]",data_all/cross7/tactile_nobg/1713316862453.png
Cross,data_all/cross7/tactile_nobg/1713298122097.png,"[0.31, -0.128, -9.331]",data_all/cross7/tactile_nobg/1713298122097.png
Cross,data_all/cross7/tactile_nobg/1713290892302.png,"[0.019, 0.068, -1.325]",data_all/cross7/tactile_nobg/1713290892302.png
Cross,data_all/cross7/tactile_nobg/1713307029418.png,"[0.299, 0.839, -9.912]",data_all/cross7/tactile_nobg/1713307029418.png
Cross,data_all/cross7/tactile_nobg/1713300560380.png,"[0.056, 0.598, -14.516]",data_all/cross7/tactile_nobg/1713300560380.png
Cross,data_all/cross7/tactile_nobg/1713329806402.png,"[0.428, 0.105, -9.422]",data_all/cross7/tactile_nobg/1713329806402.png
Cross,data_all/cross7/tactile_nobg/1713285176602.png,"[0.399, 0.655, -8.291]",data_all/cross7/tactile_nobg/1713285176602.png
Cross,data_all/cross7/tactile_nobg/1713316532871.png,"[-0.094, 0.099, -2.965]",data_all/cross7/tactile_nobg/1713316532871.png
Cross,data_all/cross7/tactile_nobg/1713319102679.png,"[0.036, -0.117, -4.927]",data_all/cross7/tactile_nobg/1713319102679.png
Cross,data_all/cross7/tactile_nobg/1713324577768.png,"[0.446, 0.189, -11.246]",data_all/cross7/tactile_nobg/1713324577768.png
Cross,data_all/cross7/tactile_nobg/1713296312380.png,"[0.04, 0.221, -9.285]",data_all/cross7/tactile_nobg/1713296312380.png
Cross,data_all/cross7/tactile_nobg/1713326925023.png,"[0.043, 0.291, -4.339]",data_all/cross7/tactile_nobg/1713326925023.png
Cross,data_all/cross7/tactile_nobg/1713316990525.png,"[-0.06, 0.454, -5.523]",data_all/cross7/tactile_nobg/1713316990525.png
Cross,data_all/cross7/tactile_nobg/1713318242246.png,"[0.022, -0.029, -5.828]",data_all/cross7/tactile_nobg/1713318242246.png
Cross,data_all/cross7/tactile_nobg/1713294114720.png,"[-0.01, -0.008, -0.077]",data_all/cross7/tactile_nobg/1713294114720.png
Cross,data_all/cross7/tactile_nobg/1713298281891.png,"[0.281, 0.101, -4.914]",data_all/cross7/tactile_nobg/1713298281891.png
Cross,data_all/cross7/tactile_nobg/1713295845254.png,"[-0.014, 0.055, -2.417]",data_all/cross7/tactile_nobg/1713295845254.png
Cross,data_all/cross7/tactile_nobg/1713309209321.png,"[0.541, 0.231, -9.501]",data_all/cross7/tactile_nobg/1713309209321.png
Cross,data_all/cross7/tactile_nobg/1713330052376.png,"[0.25, 0.195, -4.403]",data_all/cross7/tactile_nobg/1713330052376.png
Cross,data_all/cross7/tactile_nobg/1713317225748.png,"[0.038, 0.017, -1.305]",data_all/cross7/tactile_nobg/1713317225748.png
Cross,data_all/cross7/tactile_nobg/1713299763441.png,"[-0.205, 0.026, -4.873]",data_all/cross7/tactile_nobg/1713299763441.png
Cross,data_all/cross7/tactile_nobg/1713314463476.png,"[0.249, 0.044, -10.999]",data_all/cross7/tactile_nobg/1713314463476.png
Cross,data_all/cross7/tactile_nobg/1713286097895.png,"[0.22, 0.21, -9.244]",data_all/cross7/tactile_nobg/1713286097895.png
Cross,data_all/cross7/tactile_nobg/1713324973342.png,"[0.324, -0.005, -11.571]",data_all/cross7/tactile_nobg/1713324973342.png
Cross,data_all/cross7/tactile_nobg/1713317506214.png,"[0.116, 0.204, -8.761]",data_all/cross7/tactile_nobg/1713317506214.png
Cross,data_all/cross7/tactile_nobg/1713283573937.png,"[-0.184, 0.442, -5.052]",data_all/cross7/tactile_nobg/1713283573937.png
Cross,data_all/cross7/tactile_nobg/1713327479916.png,"[0.051, 0.641, -15.874]",data_all/cross7/tactile_nobg/1713327479916.png
Cross,data_all/cross7/tactile_nobg/1713293731787.png,"[0.171, -0.033, -1.95]",data_all/cross7/tactile_nobg/1713293731787.png
Cross,data_all/cross7/tactile_nobg/1713300074506.png,"[-0.166, 0.303, -7.434]",data_all/cross7/tactile_nobg/1713300074506.png
Cross,data_all/cross7/tactile_nobg/1713286405126.png,"[-0.047, 0.096, -4.956]",data_all/cross7/tactile_nobg/1713286405126.png
Cross,data_all/cross7/tactile_nobg/1713314884749.png,"[0.344, 0.005, -5.557]",data_all/cross7/tactile_nobg/1713314884749.png
Cross,data_all/cross7/tactile_nobg/1713287048560.png,"[0.325, 0.138, -10.527]",data_all/cross7/tactile_nobg/1713287048560.png
Cross,data_all/cross7/tactile_nobg/1713320044016.png,"[0.248, -0.079, -5.001]",data_all/cross7/tactile_nobg/1713320044016.png
Cross,data_all/cross7/tactile_nobg/1713317768998.png,"[0.281, 0.48, -9.188]",data_all/cross7/tactile_nobg/1713317768998.png
Cross,data_all/cross7/tactile_nobg/1713303714124.png,"[0.07, -0.031, -1.399]",data_all/cross7/tactile_nobg/1713303714124.png
Cross,data_all/cross7/tactile_nobg/1713293835174.png,"[0.408, 0.264, -4.647]",data_all/cross7/tactile_nobg/1713293835174.png
Cross,data_all/cross7/tactile_nobg/1713321210922.png,"[-0.193, 0.264, -8.427]",data_all/cross7/tactile_nobg/1713321210922.png
Cross,data_all/cross7/tactile_nobg/1713307201190.png,"[-0.028, 0.489, -16.419]",data_all/cross7/tactile_nobg/1713307201190.png
Cross,data_all/cross7/tactile_nobg/1713321980544.png,"[-0.029, -0.034, -1.533]",data_all/cross7/tactile_nobg/1713321980544.png
Cross,data_all/cross7/tactile_nobg/1713326479340.png,"[-0.43, 0.428, -10.119]",data_all/cross7/tactile_nobg/1713326479340.png
Cross,data_all/cross7/tactile_nobg/1713290613197.png,"[0.238, 0.493, -11.201]",data_all/cross7/tactile_nobg/1713290613197.png
Cross,data_all/cross7/tactile_nobg/1713285683248.png,"[-0.057, 0.149, -7.272]",data_all/cross7/tactile_nobg/1713285683248.png
Cross,data_all/cross7/tactile_nobg/1713299673911.png,"[-0.171, 0.141, -4.206]",data_all/cross7/tactile_nobg/1713299673911.png
Cross,data_all/cross7/tactile_nobg/1713306433732.png,"[0.019, 0.121, -1.366]",data_all/cross7/tactile_nobg/1713306433732.png
Cross,data_all/cross7/tactile_nobg/1713289511079.png,"[-0.023, 0.139, -2.293]",data_all/cross7/tactile_nobg/1713289511079.png
Cross,data_all/cross7/tactile_nobg/1713305509819.png,"[-0.017, 0.312, -5.789]",data_all/cross7/tactile_nobg/1713305509819.png
Cross,data_all/cross7/tactile_nobg/1713302324944.png,"[0.066, 0.137, -5.029]",data_all/cross7/tactile_nobg/1713302324944.png
Cross,data_all/cross7/tactile_nobg/1713300778718.png,"[0.16, 1.083, -14.151]",data_all/cross7/tactile_nobg/1713300778718.png
Cross,data_all/cross7/tactile_nobg/1713304530230.png,"[0.401, -0.079, -8.446]",data_all/cross7/tactile_nobg/1713304530230.png
Cross,data_all/cross7/tactile_nobg/1713295890575.png,"[0.022, -0.009, -0.712]",data_all/cross7/tactile_nobg/1713295890575.png
Cross,data_all/cross7/tactile_nobg/1713322407331.png,"[-0.054, 0.557, -15.913]",data_all/cross7/tactile_nobg/1713322407331.png
Cross,data_all/cross7/tactile_nobg/1713318755137.png,"[0.092, 0.129, -2.585]",data_all/cross7/tactile_nobg/1713318755137.png
Cross,data_all/cross7/tactile_nobg/1713330489367.png,"[0.004, 0.0, 0.074]",data_all/cross7/tactile_nobg/1713330489367.png
Cross,data_all/cross7/tactile_nobg/1713309395476.png,"[-0.038, -0.092, -1.335]",data_all/cross7/tactile_nobg/1713309395476.png
Cross,data_all/cross7/tactile_nobg/1713304347486.png,"[0.058, -0.119, -2.521]",data_all/cross7/tactile_nobg/1713304347486.png
Cross,data_all/cross7/tactile_nobg/1713284172821.png,"[-0.06, 0.105, -6.566]",data_all/cross7/tactile_nobg/1713284172821.png
Cross,data_all/cross7/tactile_nobg/1713303231178.png,"[0.087, -0.017, -9.392]",data_all/cross7/tactile_nobg/1713303231178.png
Cross,data_all/cross7/tactile_nobg/1713289386048.png,"[0.013, -0.003, -4.164]",data_all/cross7/tactile_nobg/1713289386048.png
Cross,data_all/cross7/tactile_nobg/1713308905685.png,"[0.423, 0.069, -8.936]",data_all/cross7/tactile_nobg/1713308905685.png
Cross,data_all/cross7/tactile_nobg/1713329301926.png,"[0.388, 0.22, -7.362]",data_all/cross7/tactile_nobg/1713329301926.png
Cross,data_all/cross7/tactile_nobg/1713289661565.png,"[0.182, 1.006, -13.439]",data_all/cross7/tactile_nobg/1713289661565.png
Cross,data_all/cross7/tactile_nobg/1713311542567.png,"[0.087, 0.219, -6.232]",data_all/cross7/tactile_nobg/1713311542567.png
Cross,data_all/cross7/tactile_nobg/1713316114250.png,"[-0.03, -0.034, -2.077]",data_all/cross7/tactile_nobg/1713316114250.png
Cross,data_all/cross7/tactile_nobg/1713330298475.png,"[0.116, -0.115, -4.237]",data_all/cross7/tactile_nobg/1713330298475.png
Cross,data_all/cross7/tactile_nobg/1713294600671.png,"[-0.113, 0.871, -9.746]",data_all/cross7/tactile_nobg/1713294600671.png
Cross,data_all/cross7/tactile_nobg/1713285565586.png,"[0.028, -0.023, -0.071]",data_all/cross7/tactile_nobg/1713285565586.png
Cross,data_all/cross7/tactile_nobg/1713298946878.png,"[0.659, 0.216, -10.72]",data_all/cross7/tactile_nobg/1713298946878.png
Cross,data_all/cross7/tactile_nobg/1713328888287.png,"[0.297, 0.279, -7.967]",data_all/cross7/tactile_nobg/1713328888287.png
Cross,data_all/cross7/tactile_nobg/1713288223327.png,"[0.289, 0.142, -4.0]",data_all/cross7/tactile_nobg/1713288223327.png
Cross,data_all/cross7/tactile_nobg/1713321796136.png,"[-0.203, 0.249, -12.306]",data_all/cross7/tactile_nobg/1713321796136.png
Cross,data_all/cross7/tactile_nobg/1713305290105.png,"[-0.074, 0.019, -1.582]",data_all/cross7/tactile_nobg/1713305290105.png
Cross,data_all/cross7/tactile_nobg/1713311418535.png,"[-0.037, 0.176, -5.276]",data_all/cross7/tactile_nobg/1713311418535.png
Cross,data_all/cross7/tactile_nobg/1713323099451.png,"[0.161, 0.348, -4.76]",data_all/cross7/tactile_nobg/1713323099451.png
